Date,Sum of Nitric oxide,Sum of Nitrogen dioxide,Sum of Nitrogen oxides as nitrogen dioxide
06/12/2013,701.08429,1841.39916,2916.38003
07/12/2013,341.06795,1493.717,2016.68059
08/12/2013,119.87509,1101.98154,1285.78747
09/12/2013,539.5612,1513.81564,2341.13125
10/12/2013,1107.34535,1657.20945,3355.11532
11/12/2013,6789.70323,2951.54197,13362.27509
12/12/2013,1782.42342,1771.43161,4504.44272
13/12/2013,447.33669,1458.49085,2144.39746
14/12/2013,147.57296,1075.62874,1301.90411
15/12/2013,74.48629,828.99051,943.2012
16/12/2013,254.49587,1212.61856,1602.84011
17/12/2013,1094.18834,1829.18098,3506.91303
18/12/2013,259.69277,1222.20018,1620.39017
19/12/2013,225.28289,1328.67736,1674.10624
20/12/2013,196.00239,1146.7734,1447.30622
21/12/2013,53.42278,655.49808,737.41187
22/12/2013,71.2568,873.51433,982.77318
23/12/2013,63.13843,726.02312,822.834
24/12/2013,52.40638,787.04204,867.39733
25/12/2013,107.0964,912.4826,1076.69481
26/12/2013,194.73512,1272.87633,1571.46602
27/12/2013,59.71949,763.55721,855.12577
